"id","naam","adres","latitude","longitude","capaciteit","free_slots","parked_bikes"
"6708bace5283ce2ea7dd3396b78ceffc","294- Den Tir","Eugeen Laermansstraat",51.19102,4.37669,36,27,9
"670e2836abf87ddc702ad790abaf8f10","001- Centraal Station - Astrid","Koningin Astridplein",51.21782,4.42065,31,21,10
"691dde9eab0070cd406da413c200fdc1","254- Sint-Jozef","Boekenberglei",51.19754,4.4596,30,20,10
"69975746acf69b86fae8587d23e3cad0","187 - Krijgslaan","Krijgslaan",51.16286,4.3902,29,16,13
"69dc3aff7ece47fdf65f0ca088961d26","095- Quinten Matsijslei","Quinten Mathijslei n° 12",51.21415,4.41632,20,7,13
"6ea293d44961c0e6a7c1326a328692f9","059- Het Steen","Ernest Van Dijckkaai ro n° 13 - Zuiderterras",51.2211,4.3968,35,15,20
"6fdfcee8284090de4be898a7c807a505","134- MAS","Godefriduskaai - Oostendekaai",51.22827,4.40557,36,3,33
"6ff5f0193cd5c5395e93a27c7b8cd512","014- Markgrave","Jan Van Rijswijcklaan",51.19681,4.40569,36,30,6
"703e63470bb80d6944ee33be90073f4b","086- Troonplaats","Broederminstraat 59",51.20335,4.39235,25,16,9
"70cf466855ae998df6b83263d2f4b312","037- Theater","Tabakvest - Ibis Hotel",51.21559,4.41237,30,10,20
"71131387aa459f9a0dc87c74e9ff6a9f","012- Brussel","De Singel/ Brederodestraat",51.19931,4.39014,36,28,8
"720b5226e95ede4ce30fe8a7974c681c","331 - Zaatlaan","Zaatlaan",51.1754,4.33873,36,20,16
"75702eb9ff78063a1710953432d9b846","079- Nationale Bank","Britselei - Mechelsesteenweg",51.21103,4.40726,35,34,1
"75af6b66fdc79d43bfdec154cf7e6a6d","201- P&R Luchtbal","Ekersesteenweg",51.26263,4.41869,32,16,16
"779a60c5efae69566378a6e77f0bf93b","135- Loodswezen","Sint-Aldegondiskaai",51.22797,4.40203,36,11,25
"77eced5b137d690ed0fec1f83ff2e77c","275- Sneeuwbes","Groenenborgerlaan 17",51.17437,4.40334,35,17,18
"796daa047a9b5d20ba6d577e36e0ef45","162 - Regatta 1","Blancefloerlaan",51.21993,4.36874,35,21,14
"7a3b23c26be3dd38043c36f83de62edc","109- Kerkstraat","Kerkstraat n° 58",51.21858,4.43051,32,29,3
"7a4620a2c4f70c716fe7b0b1b64359df","071- Sint-Michielskaai","Sint-Michielskaai ro n° 26",51.21456,4.39205,29,21,8
"7b97ca37fe669bb28a96bc285bd3c65c","047- Militair Hospitaal","Boomgaardstraat/Marialei",51.20141,4.42371,35,26,9
"7c4f1f69d876d25f7d71f592cc00fce5","236- Districtshuis Deurne","Maurice Dequeeckerplein",51.21916,4.46007,34,22,12
"7cc97751ec977d34fc265b65aa88732c","093- Sint Vincentius","sint vincentius",51.20541,4.41356,30,1,29
"7e78903b7b17c654b5b76f9ee06ae645","243- Mestputteke","Herentalsebaan",51.20954,4.45816,35,30,5
"80aaae43d2c56ab69f1a55fc784ff327","103- Oude Kerk Berchem","Uitbreidingsstraat 184",51.19256,4.42146,35,15,20
"81304c323bd15611c59874af1fa0522b","268- ZNA Middelheim","Lindendreef",51.18296,4.41849,36,1,35
"8130787cce6e7a71d4c8ba505d5969e9","221-Havenhuis","Mexicostraat",51.24048,4.40799,36,20,16
