X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen,Naam
492645.375362148,6657399.8219727,85423,VELOSTATION,DUBBELZIJDIG,PLEIN,Lange Leemstraat,,,Antwerpen,2018,VE_0000161,IN_GEBRUIK,36,161 Hospitaalplein
494654.935421316,6655194.78628248,85424,VELOSTATION,DUBBELZIJDIG,GROENZONE,Ter Nieuwerbrugge,3,,Berchem,2600,VE_0000305,IN_GEBRUIK,36,305 Ter Nieuwerbrugge
482919.64329989,6651786.33645776,85425,VELOSTATION,DUBBELZIJDIG,GROENZONE,Baron Sadoinestraat,26,,Hoboken,2660,VE_0000307,IN_GEBRUIK,36,307 Baron Sadoin
486158.651563617,6651619.02563469,85426,VELOSTATION,ENKELZIJDIG,PLEIN,Majoor Maelfaitplein,15,langsheen het plein,Hoboken,2660,VE_0000308,IN_GEBRUIK,36,308 KDG Campus Hoboken
484185.294259694,6651580.67722369,85427,VELOSTATION,DUBBELZIJDIG,GROENZONE,Paul Henri Spaaklaan,2,,Hoboken,2660,VE_0000309,IN_GEBRUIK,36,309 De Torekens
484638.02289339,6650921.90594816,85428,VELOSTATION,DUBBELZIJDIG,PLEIN,Krijgsbaan,20,,Hoboken,2660,VE_0000310,IN_GEBRUIK,36,310 Sporthal Sorghvliedt
483592.454370285,6652264.49576842,85429,VELOSTATION,ENKELZIJDIG,GROENZONE,Cockerillplaats,12-14,to 12-14,Hoboken,2660,VE_0000311,IN_GEBRUIK,36,311 Cockerillhof
483390.77089015,6654046.28000224,85430,VELOSTATION,ENKELZIJDIG,GROENZONE,Graspolderlaan,15-21,,Hoboken,2660,VE_0000312,IN_GEBRUIK,36,312 Graspolder
485726.173771695,6651261.82797408,85431,VELOSTATION,DUBBELZIJDIG,MIDDENBERM,Sint Bernaardsestwg,847,,Hoboken,2660,VE_0000314,IN_GEBRUIK,36,314 Schoonselhof
487079.777541811,6652134.82902872,85432,VELOSTATION,DUBBELZIJDIG,GROENZONE,Den Brem,91,,Wilrijk,2610,VE_0000320,IN_GEBRUIK,36,320 Den Brem
487345.048323257,6659853.22636583,85433,VELOSTATION,DUBBELZIJDIG,GROENZONE,Galgenweellaan,70,,Antwerpen,2050,VE_0000163,IN_GEBRUIK,36,163 Pluvier
493478.187648926,6666006.58662451,85434,VELOSTATION,ENKELZIJDIG,GROENZONE,Ganzemate,,,Merksem,2170,VE_0000317,IN_GEBRUIK,36,317 Distelhoek
485142.516235854,6653512.6849407,85435,VELOSTATION,DUBBELZIJDIG,GROENZONE,Dokter Emiel Van Dammestraat,28,,Hoboken,2660,VE_0000316,IN_GEBRUIK,36,316 D. E. Van Damme
487800.076176577,6650870.47802631,85436,VELOSTATION,ENKELZIJDIG,GROENZONE,Malisgoed,7,,Wilrijk,2610,VE_0000322,IN_GEBRUIK,24,322 Malisgoed
493167.469248511,6652323.27608357,85437,VELOSTATION,DUBBELZIJDIG,PLEIN,Monnikenplein,1,,Wilrijk,2610,VE_0000321,IN_GEBRUIK,36,321 Monnikenplein
486309.851241186,6660292.33402476,85438,VELOSTATION,DUBBELZIJDIG,VOETPAD,Blancefloerlaan,7272,,Antwerpen,2050,VE_0000162,IN_GEBRUIK,36,162 Regatta
485348.633114261,6652297.09330968,85439,VELOSTATION,DUBBELZIJDIG,VOETPAD,Paul Vekemanslaan,18,,Hoboken,2660,VE_0000325,IN_GEBRUIK,30,325 Paul Vekemans
485739.350021915,6654523.53660142,85440,VELOSTATION,DUBBELZIJDIG,GROENZONE,,,,Hoboken,2660,VE_0000326,IN_GEBRUIK,36,326 Krugerbrug
487000.956986623,6652701.06189876,85441,VELOSTATION,DUBBELZIJDIG,PLEIN,Ridderveld,7,,Wilrijk,2610,VE_0000327,IN_GEBRUIK,30,327 Ridderveld
498172.295395938,6660148.77109398,85442,VELOSTATION,DUBBELZIJDIG,VOETPAD,Schotensesteenweg,5,,Deurne,2100,VE_0000328,IN_GEBRUIK,36,328 Oude Terminus
